home_team,away_team,batter_team,batter_name,pitcher_name,bb_type,bearing,plate_x,plate_z,pitch_mph,launch_speed,launch_angle,is_home_run
ARI,COL,COL,"arenado, nolan","ray, robbie",line_drive,left,-0.15,1.97,87.8,108.9,9.0,0
COL,ARI,COL,"arenado, nolan","ray, robbie",line_drive,left,-0.71,2.88,95.2,,18.0,0
COL,ARI,COL,"arenado, nolan","ray, robbie",popup,left,-0.54,1.75,86.5,75.0,49.0,0
ARI,COL,COL,"blackmon, charlie","ray, robbie",fly_ball,right,-0.42,3.15,86.7,90.6,54.0,0
COL,ARI,COL,"blackmon, charlie","ray, robbie",ground_ball,left,0.18,3.27,96.1,,6.0,0
COL,ARI,COL,"blackmon, charlie","ray, robbie",fly_ball,center,-0.99,1.52,86.2,66.7,27.0,0
COL,ARI,COL,"blackmon, charlie","ray, robbie",line_drive,center,0.45,3.36,95.0,,8.0,0
ARI,COL,COL,"diaz, elias","ray, robbie",line_drive,left,0.31,1.9,92.0,95.7,,0
ARI,COL,COL,"rodgers, brendan","ray, robbie",ground_ball,center,0.12,1.45,90.9,,-6.0,0
ARI,COL,COL,"butera, drew","ray, robbie",fly_ball,left,-0.44,2.33,85.5,89.7,55.0,0
ARI,COL,COL,"hampson, garrett","ray, robbie",fly_ball,right,-0.74,2.49,90.7,,,0
COL,ARI,COL,"hampson, garrett","ray, robbie",fly_ball,center,-0.38,2.16,96.0,99.3,37.0,0
COL,ARI,COL,"hampson, garrett","ray, robbie",ground_ball,left,-0.48,2.16,94.5,,-2.0,0
COL,ARI,COL,"hampson, garrett","ray, robbie",ground_ball,center,-0.04,2.82,95.0,45.7,-47.0,0
MIA,TOR,MIA,"marte, starling","ray, robbie",ground_ball,left,-0.09,1.21,84.7,100.9,0.0,0
COL,ARI,COL,"story, trevor","ray, robbie",line_drive,left,-0.65,2.09,89.5,105.4,28.0,1
ARI,LAD,LAD,"betts, mookie","ray, robbie",line_drive,right,0.46,2.28,85.8,102.9,9.0,0
ARI,LAD,LAD,"seager, corey","ray, robbie",line_drive,right,-0.26,3.01,84.8,104.9,,1
ARI,LAD,LAD,"seager, corey","ray, robbie",ground_ball,center,1.68,3.86,94.9,31.1,-33.0,0
