home_team,away_team,batter_team,batter_name,pitcher_name,bb_type,bearing,plate_x,plate_z,pitch_mph,launch_speed,launch_angle,is_home_run
CWS,MIN,CWS,"garcia, leury","dobnak, randy",ground_ball,center,-0.46,2.6,90.9,94.8,-17.0,0
PHI,WSH,PHI,"gregorius, didi","bacus, dakota",fly_ball,center,-0.47,2.74,87.8,,,0
LAA,SEA,LAA,"stassi, max","magill, matt",ground_ball,left,0.31,1.82,83.2,93.5,,0
MIA,WSH,MIA,"berti, jon","scherzer, max",ground_ball,center,-0.46,1.99,83.7,,10.0,0
KC,CWS,KC,"franco, maikel","giolito, lucas",ground_ball,left,0.22,2.3,94.9,106.8,4.0,0
OAK,ARI,OAK,"olson, matt","young, alex",ground_ball,left,1.08,2.45,89.9,,,0
NYY,TB,TB,"arozarena, randy","green, chad",ground_ball,left,0.36,2.51,86.5,106.7,-10.0,0
SF,SEA,SEA,"white, evan","baragar, caleb",fly_ball,right,-0.77,2.59,97.4,,32.0,0
STL,CIN,CIN,"galvis, freddy","hudson, dakota",popup,center,1.16,2.94,94.4,59.1,54.0,0
ATL,WSH,ATL,"d'arnaud, travis","hudson, daniel",fly_ball,center,-0.42,2.06,96.0,105.3,37.0,1
LAA,TEX,LAA,"rendon, anthony","chavez, jesse",ground_ball,left,-0.57,2.13,91.3,63.9,,0
DET,MIN,MIN,"buxton, byron","farmer, buck",fly_ball,left,-0.24,1.68,82.6,90.3,37.0,0
CHC,PIT,PIT,"frazier, adam","tepera, ryan",line_drive,center,0.42,1.2,88.0,103.5,10.0,0
CHC,CWS,CWS,"grandal, yasmani","lester, jon",line_drive,center,0.27,2.97,89.8,107.2,27.0,1
PHI,NYY,NYY,"voit, luke","nola, aaron",line_drive,left,-0.08,2.17,78.2,,,1
NYY,BOS,NYY,"lemahieu, dj","workman, brandon",ground_ball,left,0.18,1.99,80.5,94.4,-1.0,0
MIA,PHI,PHI,"torreyes, ronald","dugger, robert",ground_ball,center,0.21,3.02,91.4,93.0,-4.0,0
CHC,STL,CHC,"kipnis, jason","oviedo, johan",ground_ball,left,0.85,2.58,95.9,59.5,19.0,0
CHC,MIL,MIL,"smoak, justin","winkler, dan",popup,left,0.95,3.23,91.5,49.1,50.0,0
STL,CIN,CIN,"castellanos, nick","hudson, dakota",line_drive,center,0.31,2.42,93.1,,17.0,0
TEX,OAK,TEX,"taveras, leody","manaea, sean",popup,left,0.11,3.24,80.2,,67.0,0
KC,MIN,KC,"gordon, alex","may, trevor",ground_ball,left,0.45,2.33,98.3,70.8,,0
SEA,OAK,SEA,"long, shed","montas, frankie",ground_ball,left,-0.92,2.68,94.5,,-6.0,0
LAD,SF,SF,"davis, jaylin","stripling, ross",fly_ball,right,-0.06,2.03,81.8,,35.0,0
MIA,PHI,PHI,"realmuto, j. t.","castano, daniel",line_drive,left,-0.22,1.83,86.7,110.1,11.0,0
BAL,TOR,TOR,"guerrero, vladimir","castro, miguel",ground_ball,left,-0.25,1.84,98.4,105.2,-21.0,0
TOR,BAL,TOR,"guerrero, vladimir","scott, tanner",ground_ball,center,0.6,1.85,87.1,,,0
KC,CIN,KC,"soler, jorge","antone, tejay",line_drive,center,0.69,1.63,85.1,79.1,26.0,0
TB,TOR,TB,"kiermaier, kevin","waguespack, jacob",ground_ball,left,-0.62,1.1,78.8,80.5,-32.0,0
DET,CIN,DET,"stewart, christin","bauer, trevor",popup,left,0.07,2.1,92.9,83.2,74.0,0
COL,TEX,COL,"wolters, tony","gibson, kyle",line_drive,left,-0.26,2.59,95.3,88.5,11.0,0
ARI,COL,COL,"hampson, garrett","widener, taylor",fly_ball,center,-0.09,2.43,94.6,95.0,,0
WSH,BAL,WSH,"difo, wilmer","lakins, travis",line_drive,left,-0.63,2.67,86.3,,24.0,0
BOS,WSH,WSH,"thames, eric","godley, zack",ground_ball,center,0.08,1.37,89.6,74.4,,0
OAK,SF,OAK,"semien, marcus","suarez, andrew",ground_ball,left,0.5,2.3,89.4,80.5,-10.0,0
OAK,LAA,LAA,"walsh, jared","mcfarland, t. j.",ground_ball,left,-0.26,1.31,77.5,,-7.0,0
ARI,COL,COL,"blackmon, charlie","smith, riley",line_drive,right,0.49,2.71,95.2,105.6,29.0,1
ATL,NYY,NYY,"andujar, miguel","fried, max",ground_ball,center,0.07,2.93,97.3,95.0,,0
LAD,SEA,SEA,"crawford, j. p.","stripling, ross",line_drive,center,-0.35,2.78,94.5,83.2,,0
CLE,KC,CLE,"hernandez, cesar","lovelady, richard",ground_ball,center,-0.29,2.59,84.6,,-22.0,0
KC,CLE,CLE,"hernandez, cesar","junis, jakob",ground_ball,center,0.16,2.53,79.4,84.6,9.0,0
LAA,ARI,LAA,"trout, mike","bumgarner, madison",fly_ball,right,0.44,1.95,83.5,,60.0,0
WSH,BAL,WSH,"kendrick, howie","milone, tommy",ground_ball,center,0.48,1.48,80.3,106.3,,0
LAD,ATL,LAD,"smith, will","anderson, ian",ground_ball,left,0.43,1.86,80.1,70.1,-35.0,0
PIT,DET,PIT,"newman, kevin","boyd, matt",ground_ball,left,0.27,2.49,92.2,91.4,-16.0,0
MIA,WSH,MIA,"sierra, magneuris","suero, wander",ground_ball,left,-0.35,2.09,85.3,62.7,-26.0,0
HOU,LAD,HOU,"altuve, jose","treinen, blake",ground_ball,left,-0.6,1.68,95.8,,,0
ARI,HOU,ARI,"ahmed, nick","bielak, brandon",ground_ball,left,0.99,1.85,84.2,67.1,-14.0,0
PIT,DET,PIT,"bell, josh","soto, gregory",ground_ball,center,0.13,3.28,99.4,87.2,,0
MIL,PIT,PIT,"riddle, jt","woodruff, brandon",ground_ball,center,-0.49,1.56,90.5,,-18.0,0
MIN,STL,MIN,"kepler, max","martinez, carlos",popup,left,0.05,3.09,91.7,,77.0,0
CHC,MIA,CHC,"heyward, jason","kintzler, brandon",line_drive,left,-0.85,2.88,92.9,101.0,15.0,0
LAD,SD,LAD,"smith, will","davies, zach",ground_ball,left,-0.05,1.5,79.1,92.8,8.0,0
ATL,MIA,ATL,"acuna, ronald","smith, josh",ground_ball,center,0.73,2.58,89.0,99.3,-4.0,0
SF,SD,SD,"hosmer, eric","cueto, johnny",line_drive,right,0.42,2.17,85.1,80.0,21.0,0
