threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.1,0.05,0.92
0.06,0.18,0.89,0.3,0.78,0.92
0.11,0.26,0.8,0.39,0.87,0.92
0.17,0.33,0.7,0.44,0.91,0.92
0.22,0.41,0.63,0.49,0.93,0.92
0.28,0.47,0.54,0.5,0.94,0.92
0.33,0.54,0.46,0.5,0.95,0.92
0.39,0.58,0.38,0.46,0.95,0.92
0.44,0.65,0.29,0.4,0.95,0.92
0.5,0.73,0.21,0.32,0.95,0.92
0.56,0.79,0.12,0.21,0.95,0.92
0.61,0.88,0.05,0.09,0.95,0.92
0.67,1.0,0.0,0.01,0.95,0.92
0.72,0.0,0.0,0.0,0.95,0.92
0.78,0.0,0.0,0.0,0.95,0.92
0.83,0.0,0.0,0.0,0.95,0.92
0.89,0.0,0.0,0.0,0.95,0.92
0.94,0.0,0.0,0.0,0.95,0.92
1.0,0.0,0.0,0.0,0.95,0.92
