threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.1,0.05,0.9
0.06,0.17,0.87,0.29,0.77,0.9
0.11,0.27,0.73,0.39,0.88,0.9
0.17,0.39,0.61,0.47,0.93,0.9
0.22,0.48,0.47,0.47,0.94,0.9
0.28,0.58,0.34,0.43,0.95,0.9
0.33,0.67,0.26,0.37,0.95,0.9
0.39,0.75,0.15,0.25,0.95,0.9
0.44,0.83,0.09,0.16,0.95,0.9
0.5,0.86,0.04,0.07,0.95,0.9
0.56,0.75,0.01,0.02,0.95,0.9
0.61,1.0,0.0,0.01,0.95,0.9
0.67,1.0,0.0,0.0,0.95,0.9
0.72,0.0,0.0,0.0,0.95,0.9
0.78,0.0,0.0,0.0,0.95,0.9
0.83,0.0,0.0,0.0,0.95,0.9
0.89,0.0,0.0,0.0,0.95,0.9
0.94,0.0,0.0,0.0,0.95,0.9
1.0,0.0,0.0,0.0,0.95,0.9
