threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.1,0.05,0.94
0.06,0.24,0.85,0.38,0.85,0.94
0.11,0.36,0.74,0.49,0.92,0.94
0.17,0.47,0.65,0.55,0.94,0.94
0.22,0.56,0.59,0.57,0.95,0.94
0.28,0.63,0.54,0.58,0.96,0.94
0.33,0.68,0.51,0.58,0.96,0.94
0.39,0.72,0.45,0.55,0.96,0.94
0.44,0.76,0.4,0.53,0.96,0.94
0.5,0.8,0.36,0.5,0.96,0.94
0.56,0.83,0.3,0.44,0.96,0.94
0.61,0.86,0.26,0.4,0.96,0.94
0.67,0.87,0.2,0.33,0.96,0.94
0.72,0.87,0.15,0.25,0.95,0.94
0.78,0.88,0.11,0.19,0.95,0.94
0.83,0.94,0.06,0.11,0.95,0.94
0.89,1.0,0.02,0.03,0.95,0.94
0.94,0.0,0.0,0.0,0.95,0.94
1.0,0.0,0.0,0.0,0.95,0.94
