threshold,precision,recall,f1,accuracy,auc
0.0,0.05,1.0,0.1,0.05,0.9
0.06,0.1,0.99,0.18,0.52,0.9
0.11,0.11,0.96,0.2,0.6,0.9
0.17,0.13,0.96,0.22,0.65,0.9
0.22,0.14,0.94,0.24,0.69,0.9
0.28,0.15,0.92,0.26,0.72,0.9
0.33,0.16,0.91,0.28,0.75,0.9
0.39,0.18,0.89,0.29,0.78,0.9
0.44,0.19,0.85,0.31,0.8,0.9
0.5,0.2,0.82,0.32,0.82,0.9
0.56,0.22,0.78,0.34,0.84,0.9
0.61,0.23,0.74,0.35,0.86,0.9
0.67,0.25,0.69,0.37,0.88,0.9
0.72,0.29,0.63,0.39,0.9,0.9
0.78,0.31,0.55,0.4,0.91,0.9
0.83,0.36,0.46,0.4,0.93,0.9
0.89,0.42,0.36,0.38,0.94,0.9
0.94,0.49,0.18,0.26,0.95,0.9
1.0,0.0,0.0,0.0,0.95,0.9
